total_bienes_final,total_bienes_inicio
12641169.37,9232133.97
1082027.8,730876.12
909785.35,985883.16
492810.66,287929.27
32704.0,15005.83
5045724.83,3576432.85
163235.99,7900.0
343228.97,209511.0
3797435.46,2863091.43
500600.0,497600.0
824429.03,636003.19
50005.0,80005.0
1874242.54,965142.72
375871.84,345612.87
96.0,182141.64
4659735.64,3725766.75
1597915.35,1121061.5
59324.0,0.0
391594.1,390333.1
1435707.84,1355757.44
6445467.15,3563634.68
178000.0,145000.0
1198196.3,707195.93
1590464.6,663228.26
522738.33,475133.89
1232799.48,1198824.37
367114.34,241264.0
2024071.53,1069768.4
708186.57,552657.67
407181.46,426727.9
28000.0,23000.0
0.0,0.0
211058.56,194000.0
75000.0,180950.0
1194363.84,741897.25
60964.69,23705.13
345000.0,310000.0
431114.04,295503.97
1911554.51,1658842.98
5644581.22,3008238.32
281604.76,721799.12
328061.79,337293.61
1879720.06,1355444.85
557000.0,467801.37
254153.24,207436.24
370672.0,186000.0
0.0,0.0
1409704.0,1214175.0
760495.16,654361.94
796762.69,757914.85
359336.82,279628.3
1429284.39,837609.41
912506.22,765200.0
20000.0,2000.0
17908111.37,13662100.15
884847.11,488900.78
760756.26,449754.36
425344.43,193195.91
126500.0,126500.0
1493430.2,1005204.52
887585.7,362335.0
869363.0,250000.0
1230113.69,796934.12
2726242.31,2074240.72
827862.64,614128.97
190375.43,157886.86
1180860.81,849541.94
349025.7,321725.7
364293.06,289738.92
129199.25,103551.84
635075.85,830740.03
370259.5,299165.0
4099323.71,3504385.78
629337.0,580000.0
530640.92,370863.0
0.0,0.0
306300.46,203235.38
99150.7,109402.98
325484.0,300000.0
0.0,0.0
902233.75,457474.8
778920.93,436849.61
517000.0,478800.0
2782707.88,2256496.37
51554.96,32657.29
1170675.8,915811.76
424116.49,341053.0
1074328.8,1048250.07
486628.46,386685.91
285536.0,221557.0
906000.0,331021.53
1376845.89,146200.0
1329759.27,1054649.35
315503.59,200200.23
1808982.4,485263.6
2616110.88,2115666.68
1101133.0,1074612.0
491440.76,304982.27
584071.5,426505.5
262101.56,2670.41
2241351.71,1753426.37
1527124.7,1026109.99
657994.11,591677.69
3016450.18,1915896.02
542600.0,438206.0
1170000.0,1170000.0
873127.55,842549.8
961784.31,829355.57
1743863.44,1589953.62
1255976.6,1196037.66
802784.56,755083.72
863037.01,742037.45
1031826.22,821499.49
351908.83,396430.55
761978.86,398043.26
1417902.93,1088064.61
529590.57,291514.96
567297.56,408690.92
198083.51,194125.69
1250000.0,50000.0
409806.35,409806.35
555553.0,398500.0
497524.05,287000.0
509029.18,423379.4
1873323.05,1164737.63
0.0,0.0
125649.89,294908.32
328769.0,81375.0
1479424.91,688875.41
1129153.26,902030.58
1071173.56,1029766.79
673779.33,786449.98
849464.97,522535.3
583275.89,499797.3
274500.0,274500.0
1100269.43,834523.0
1797811.36,1322588.74
1586218.98,1546727.02
645541.18,439986.69
1791273.08,1058104.69
640769.29,465173.0
0.0,0.0
813114.33,519620.78
1982281.08,1629764.56
542797.41,412638.51
148798.0,156899.0
1269065.41,1513084.13
260037.0,192079.12
4186720.28,3510242.18
1026585.82,935616.55
705600.0,705600.0
1510473.24,982154.88
3642516.04,3146038.16
1223643.27,860909.14
182742.33,181803.0
488447.0,557715.53
1125155.46,771956.8
773845.02,742193.04
4356369.46,1101615.21
228800.0,187500.0
931688.45,933867.57
146274.93,299374.94
800845.34,459421.31
3842132.95,2723814.06
328907.58,313374.0
818085.96,756721.23
268908.35,243424.77
1005275.0,496970.0
1548146.01,1570157.42
1027926.0,580786.0
2808995.99,2386543.98
3984948.5,1460345.57
665128.51,620078.33
410000.0,0.0
957445.12,547858.98
515341.36,336268.04
463541.33,535452.25
336459.3,105291.62
566074.23,352961.31
275000.0,275000.0
1165484.51,1084817.05
0.0,190205.0
749396.14,413814.12
223663.49,143947.13
293563.91,394632.9
879771.27,580947.15
1662217.92,1079656.63
388605.3,452270.71
1814780.5,1446802.07
848939.0,410456.0
353640.33,262576.71
2263789.88,2242648.21
1019548.14,869295.19
523060.4,165936.0
2237957.07,1807194.06
405000.0,405000.0
176817.88,248320.29
1093057.74,647857.57
2225091.24,1347528.14
830445.0,525945.45
809156.76,424465.96
729480.0,492074.0
647969.04,568425.07
4034503.51,2990797.42
393124.52,191994.1
1030839.6,1127560.35
87000.0,75000.0
371800.0,312044.0
56217.11,0.0
855764.77,757563.89
2715421.43,2618641.89
792417.97,493054.2
768042.45,755442.45
1920149.42,1274769.36
0.0,0.0
473961.48,520771.51
594780.4,253421.21
174467.3,189026.0
1326001.08,663750.0
543793.04,474245.17
1550719.26,1351041.16
1824787.4,1549590.0
0.0,0.0
2453381.92,1383613.66
1755165.35,1339867.78
44094.73,126218.0
283271.86,167712.86
3196892.91,1427914.99
15600.0,69788.25
830233.75,461060.24
899561.28,773379.99
3356632.97,2584359.62
1096724.69,779782.4
826896.83,528694.74
2407763.45,1579921.48
95693.68,141617.0
882245.57,770048.14
2919909.96,908956.56
473169.5,320451.44
3020171.84,2623165.83
858949.0,816435.11
560888.21,320686.13
325492.0,365538.0
474446.0,474446.0
925151.16,884866.0
1984188.3,1375898.03
340000.0,275000.0
774910.65,559847.18
542503.88,403649.82
838000.0,297755.36
303005.99,62350.23
939369.39,810055.1
780789.9,342788.49
4870973.76,2077880.02
138503.42,5244.97
26813.0,29671.0
450355.43,449056.74
821342.53,952701.8
1938018.03,1678446.45
0.0,0.0
1840391.44,1355503.2
1952920.17,1229201.04
1849323.69,1849664.7
452620.44,434492.72
768553.75,724299.56
705591.5,560335.3
606529.4,269141.25
839942.55,756244.31
135000.0,123500.0
471073.96,417107.13
800806.14,493451.58
1468565.12,786896.99
57500.0,57500.0
526831.7,329572.2
887048.97,1041659.1
5873749.64,4205879.51
177500.0,137000.0
818016.42,745741.81
1314372.05,950579.35
2323454.09,1988773.73
759920.43,334575.98
134450.0,71280.0
937092.3,834849.08
2885624.0,2586598.09
756053.9,734387.08
333500.0,333500.0
299297.0,385000.0
214787.0,273000.0
225000.0,210000.0
396724.75,363170.07
1549532.95,976889.95
1245341.06,1214049.93
511848.0,294279.0
1771959.31,1344902.31
1456517.0,1394148.0
738740.81,558494.0
1313947.5,920717.21
105000.0,160000.0
466442.46,317263.0
419191.46,353397.13
3421008.43,2224023.86
2554402.82,2095933.91
456342.08,319902.58
275.0,275.0
1072192.29,914096.54
227699.0,210000.0
0.0,317719.13
341059.13,324471.33
3270003.21,2878304.41
456131.96,247866.93
758303.93,303383.0
344435.44,358099.13
119042.25,147829.67
466751.49,263210.33
189709.17,167805.35
1004691.53,827778.18
887247.13,676502.45
604881.07,291000.0
513948.89,426141.38
185159.16,152153.41
4201466.54,2624609.82
306631.02,188933.61
1935938.73,1826838.47
1403413.54,1283668.15
224094.68,210179.55
874262.18,708162.08
1970790.33,2135285.62
2184472.6,2448372.7
497014.51,363755.05
2300000.0,190000.0
583000.0,554000.0
1251956.16,603511.0
4076870.93,2162454.61
671027.89,333777.15
161967.0,199000.0
801320.33,619463.7
1937591.0,1760000.0
398000.0,197400.0
0.0,1766047.3
4162161.57,3740761.17
497386.58,478824.46
18822.58,38519.65
1810000.0,1600000.0
1522293.7,952112.57
459000.0,194518.0
30861.41,12403.5
1586254.11,943022.28
65733.11,81982.34
609093.09,345214.07
899060.3,853876.94
955394.89,287250.0
349500.0,400209.34
2952658.12,2954853.65
5868497.53,3521944.7
287810.0,86350.35
306379.87,223319.26
957252.69,694120.18
190000.0,285300.34
408721.16,361849.0
0.0,0.0
5969341.84,3942020.03
783154.49,722195.77
564000.0,442000.0
1470886.0,1285516.16
503632.97,267173.0
3064921.36,2175000.56
1175148.54,509761.94
0.0,1750.0
603958.29,391769.15
370000.0,333000.0
265591.23,197169.0
11451166.46,9187523.8
497569.5,330926.15
5408823.16,4077402.36
0.0,260000.0
7278283.09,6949171.78
1323121.62,1052628.23
513134.81,746532.72
342979.4,342979.4
375900.0,375900.0
1492517.13,1420475.94
225329.85,222756.52
3065500.05,2086003.29
267777.67,234387.27
1308266.4,852288.15
1225655.58,849817.76
4978438.82,2538552.37
454878.37,392481.12
1266015.49,725540.77
1022097.65,970680.53
228000.0,228000.0
1828856.03,1783856.0
0.0,0.0
2124423.19,304568.46
1535194.21,1540695.46
375894.71,125001.31
1490003.55,799771.58
40371.22,26413.22
867470.0,363400.0
2571163.37,2202931.04
22690.0,22690.0
33237100.09,4382527.26
576683.07,263867.0
326908.0,270531.26
3609811.06,2659589.78
1332683.62,680234.48
725788.51,648005.27
1380267.36,1178135.8
4020542.13,3576155.76
6811718.52,4547798.59
759989.0,687843.61
4919386.48,4288343.65
2251804.82,1684679.18
488576.54,439597.71
163500.0,157500.0
25855253.13,21330067.18
919556.56,680849.59
225000.0,225000.0
318371.0,209113.5
2389389.45,2437337.33
244254.46,326135.27
2050243.05,878106.18
143192.0,115261.0
716949.15,530133.71
1466861.11,767958.69
855437.3,503574.0
439411.43,336054.5
1486873.11,1066856.69
0.0,412012.0
229219.37,0.0
3009500.36,2199604.5
1874859.09,1622486.31
2407144.32,910777.95
2914400.5,1974181.87
372519.24,338950.46
1094786.46,837220.82
1858151.45,1454730.93
1255195.77,651524.45
778327.5,588096.28
2882058.61,1933452.07
498294.17,333125.76
7251788.0,2543960.52
2403686.99,1834240.04
431749.0,365414.0
194750.0,194750.0
1487279.71,915919.78
560702.87,186425.79
305033.4,321521.17
315888.1,14653.22
627487.3,302195.25
397360.6,173438.07
357000.0,303450.0
1766678.98,1386141.94
325726.15,504600.24
918400.0,339835.13
5440351.0,5426200.0
1281949.0,1193255.0
742387.11,422387.11
2318866.71,1270247.96
230300.0,236530.0
498680.31,386383.09
2460475.76,1929848.56
4550073.49,4106083.71
179615.0,61500.0
1592465.68,1350844.56
1004770.0,418110.0
2375266.35,1382626.43
28331021.09,24055946.63
229136.0,196550.0
91331.52,339869.52
1595757.36,1458348.44
1406286.2,922221.1
41285722.45,25231273.61
1489791.4,1688079.3
1711996.47,1387405.84
217491.5,173999.5
469004.31,336135.97
1811912.8,1120550.54
252475.32,209836.7
335706.76,267847.68
262236.0,262515.75
1531218.23,1361969.5
3929127.09,3864996.03
1182755.52,284376.55
620182.0,329628.39
739109.65,288725.51
656893.88,461205.81
1254596.64,959571.92
66105.88,32883.37
343832.85,179932.85
242000.0,338000.0
1117851.62,888613.69
482597.48,380518.39
169593.87,89791.51
312833.65,241232.14
12572300.39,8391437.66
361943.0,327986.43
654481.65,440560.98
742274.2,749817.0
866623.17,639743.31
431159.87,192159.87
850597.44,328133.68
1075534.96,663193.24
1874616.06,1711340.05
0.0,16507.41
386490.78,136500.0
1133151.46,929928.03
83041.53,64386.54
331165.75,326165.75
354740.0,291640.0
189077.0,152224.0
2675768.53,810029.13
2397878.36,2002284.69
2007798.68,1003735.73
1506563.72,1191880.0
2300603.55,1223053.98
1778027.04,1492301.83
65799.0,53585.0
442511.14,285677.16
1989931.75,1546319.0
2394855.18,1573738.49
549196.84,302561.55
2532065.66,2078306.71
328045.7,133175.63
714754.0,673932.63
1807688.93,1498999.62
540000.0,540000.0
1083743.49,1081115.32
490585.2,513700.0
107000.25,61636.05
57140.86,84007.22
1257582.78,1014478.23
6491651.48,886021.76
250000.0,250000.0
440267.0,303980.33
2042452.71,1448921.98
1484087.49,886867.29
849382.34,702091.25
470979.86,375797.98
1200242.78,756858.17
414458.65,339629.19
576792.18,67980.94
944393.5,706215.94
575574.66,486812.97
312500.0,126000.0
273759.0,282629.55
665769.44,366856.69
199600.0,179600.0
3421093.05,2445701.84
176494.0,19500.0
1364000.0,326618.0
187950.0,180600.0
2649101.84,2399075.75
569374.71,534961.33
1469000.0,1139000.0
1524863.18,1201607.25
293198.0,178300.0
173475.0,95907.0
746919.04,710294.48
2332246.68,2280577.6
1230000.0,1230000.0
199765.0,183750.0
10653546.15,8181485.78
529886.78,472466.81
1626800.0,1142000.0
2099618.78,1929438.38
265339.15,231262.54
1161960.36,1061100.93
1117306.85,747200.1
164068.35,89523.1
1223589.76,777090.43
435888.16,187881.42
440275.55,325107.75
3358659.58,3278534.65
916378.66,757286.62
6250209.75,4137450.53
343740.0,0.0
462102.99,389237.92
137366.98,121937.35
1714251.49,804168.38
689464.0,392699.0
189283.53,159981.13
881903.01,692903.01
666321.5,463607.12
141314.0,167285.2
231000.0,134267.27
542474.43,313069.9
205319.62,146165.31
743571.11,259328.08
1911561.61,2203873.19
879538.11,829448.52
897387.0,872358.95
2634044.0,2295891.96
4040864.08,3279887.58
84103.0,68855.0
1333567.2,1380134.5
108888.0,70966.98
3557283.65,2563044.69
1516868.74,1277193.33
630237.9,442574.57
854020.0,554738.64
858840.8,540034.26
238000.0,310186.41
605613.0,246175.0
57097.48,132528.07
262500.0,131292.0
3135934.64,2490121.92
396824.0,281750.0
653748.61,351498.61
180000.0,160000.0
323682.5,200812.96
189600.2,103761.0
0.0,0.0
140000.0,140000.0
140000.0,140000.0
689181.58,672779.88
1386079.67,617798.48
1821686.0,1059116.5
3400206.0,2491638.0
361697.53,327462.0
0.0,203400.0
230000.0,230000.0
1932083.54,1046692.42
1267749.54,983073.44
865475.1,633635.09
0.0,270000.0
979102.25,943069.55
761635.0,371532.9
122577.0,251099.71
464281.0,315315.76
453872.75,371835.21
192165.51,563579.2
722892.85,257563.18
2031228.32,1333765.07
3139375.13,2410073.33
99585.01,250175.25
2397186.74,2162649.09
510600.46,350547.53
203914.36,46647.02
665173.0,633864.3
842822.04,672420.29
293601.95,313446.95
400961.0,162070.0
324388.95,281930.03
1679487.93,928011.15
0.0,0.0
120000.0,110000.0
326582.73,286206.73
1145498.01,773845.11
257500.0,257000.0
1717801.35,1307443.38
500707.74,503671.36
355759.31,302460.43
173711.32,87754.9
335825.0,254029.13
3648062.48,1012753.8
947834.55,306054.4
578495.0,228138.0
2094725.55,1324721.9
336525.0,336525.0
1211909.49,1049317.75
411737.66,386762.59
1458429.53,726945.25
367741.28,320654.28
2372062.79,2408741.64
1171819.1,802952.48
0.0,0.0
1681717.54,1208326.81
427627.49,443139.99
348018.0,177428.54
2461375.17,1480126.28
981849.0,432599.64
253495.52,200490.89
185000.0,235000.0
2021808.35,1920660.49
350000.0,350000.0
827606.01,648497.25
212838.57,228304.03
291991.0,217047.98
502420.82,668288.52
2105354.38,1496531.97
0.0,135000.0
13865558.92,10533563.99
45000.0,47000.0
2899064.15,2017582.17
1114098.73,957878.12
1927720.56,1769402.72
502343.8,382833.93
158667.58,165689.71
265489.52,138903.5
1968568.0,1968568.0
416230.83,367342.25
1473955.84,1090690.23
1334788.08,1206489.24
1603359.57,1717933.45
356927.4,376576.89
826672.76,709965.23
446800.0,446800.0
1445935.18,1034854.0
493624.44,469710.65
853227.2,791470.3
998329.19,803721.89
548428.01,494542.46
968271.0,487807.0
313139.0,319281.85
0.0,0.0
0.0,0.0
676322.65,360800.0
754950.0,787000.0
659411.0,532602.65
290184.99,10800.0
403580.5,364658.69
355000.0,320000.0
105000.0,100250.0
812965.59,483911.7
3515522.03,2071566.85
596993.87,307602.64
975791.0,404339.0
538166.51,490963.93
1861444.62,1608067.14
1324308.6,1365659.97
203402.62,185216.6
323020.14,35513.0
1697913.42,1212664.77
8486644.69,4238721.7
1986572.57,1797900.2
1234832.43,1220000.0
3358198.37,2108636.39
784349.64,995719.77
2097985.31,1428677.16
1009487.54,877094.0
2756034.59,1624729.99
605413.66,478234.82
1251812.7,1070593.74
496215.49,194351.01
96806.0,0.0
2131274.06,1919118.68
922429.42,657185.0
870100.0,669500.0
361750.0,361750.0
8258409.79,2959153.52
5719241.78,2814502.27
2030000.0,868350.0
805186.45,392704.5
336931.51,388142.52
1457852.76,872025.08
168318.0,95001.0
3710856.61,2350809.75
183893.0,179291.5
0.0,35000.0
185000.0,185000.0
1000000.0,1000000.0
1517250.03,1077792.0
0.0,140065.0
441764.0,446250.0
7899054.08,3302529.1
858714.54,620002.96
269000.0,40000.0
653470.53,510563.54
1374381.0,1615119.0
173567.0,120000.0
1614563.32,1181882.64
755368.93,504317.72
1291719.15,797023.0
5275148.84,3874504.3
388336.07,387934.26
463935.0,386448.0
1028653.68,1235631.18
1405046.33,927471.17
2850570.33,2136889.74
100.0,515000.0
100.0,106636.0
345618.34,243636.13
479235.0,456093.7
410754.46,302676.16
0.0,0.0
4173180.84,2813276.95
894465.98,797921.41
846869.45,730485.38
0.0,262500.0
74836.0,25234.46
1756903.55,1355967.72
454385.0,310336.82
1001696.25,935307.86
59774.0,254349.0
304184.95,255213.47
3658078.21,2859173.69
696000.0,678000.0
364037.0,278273.0
199500.0,17911.0
349540.02,58220.0
1063825.99,881815.88
1841077.65,1667139.99
830791.16,961566.78
61500.0,116582.0
1495408.47,853527.87
490135.0,297676.05
1023290.19,735579.21
206566.86,186158.44
688707.0,641200.0
1966938.24,1605909.28
930481.09,665451.64
645884.22,314194.45
2229053.71,1732400.47
2037445.79,1986645.32
1509454.38,1242248.4
2750426.97,912428.59
108734.75,76815.49
93297.59,316386.0
5060215.22,2034190.05
1145700.75,762522.06
197500.0,172500.0
4086765.08,3044218.61
46000.0,48000.0
533118.5,427418.62
874671.66,641127.52
32446.0,13985.0
144602.94,102689.3
1716948.39,1130927.87
0.0,80000.0
4138784.41,3285827.45
1166398.61,1263013.54
2146342.61,821465.39
303440.5,277548.5
348291.18,262872.68
411087.4,250419.24
448416.93,420815.13
0.0,0.0
889775.44,522404.23
866945.83,1053983.97
4344611.11,2660141.19
900076.9,663189.58
4050981.42,2808009.2
2794568.27,1372067.98
1993859.08,1072106.51
5832800.0,6004500.0
378950.0,230200.0
105764.65,130907.5
162000.0,161000.0
277218.0,125000.0
644952.93,494115.66
1084899.0,744839.45
408594.28,323954.0
158215.0,119533.85
1783931.0,1337442.3
155857.0,86926.0
708119.79,348965.41
804876.74,421127.0
405000.0,135000.0
8388.83,29784.47
647532.5,401219.05
385925.0,302194.0
607639.0,758352.5
336288.92,149500.19
746648.32,379219.0
0.0,0.0
1550170.17,889546.89
161000.0,153000.0
3818007.21,1632803.04
980635.86,785198.96
2279992.25,926003.64
398626.46,413770.06
640430.2,487253.3
97155.7,133105.95
509882.23,303612.8
695973.07,467140.13
243310.2,89698.35
363619.61,155748.23
279244.7,295904.7
384383.0,1111948.0
964043.0,772000.0
481896.04,342690.87
245000.0,0.0
365827.46,368805.76
917700.06,648129.62
438000.0,428000.0
891578.22,728261.35
1373921.72,783830.14
480503.17,355503.17
800052.02,920668.86
839429.46,382675.19
1634343.94,1314875.74
425885.05,425885.05
386395.06,310327.48
1642546.02,1399582.83
346635.12,303494.26
2172507.12,1617044.42
7057.05,0.0
905726.86,511153.58
1420528.83,1039893.73
993237.0,384178.0
308050.0,231500.0
151531.0,25000.0
490426.18,330564.0
88174.0,148174.0
1067317.08,923284.32
1127912.07,1100670.41
361206.5,335154.41
348239.95,327699.95
2050033.25,1415650.29
829380.0,889912.0
40000.0,43221.65
1274415.7,1014687.35
514964.43,303211.75
84193.36,0.0
1266481.66,851664.35
817452.36,314027.01
208390.41,216967.04
1169518.38,1081991.08
1596624.97,1806451.82
1401802.1,514400.07
519826.39,304431.27
1651794.56,1154178.72
3304218.43,2059414.15
595906.85,565954.2
584556.37,532267.8
718640.25,515342.98
1543399.38,1200592.53
607890.14,607890.14
376911.65,287738.25
1128507.47,1129148.82
987847.12,692140.33
4600.0,0.0
1784010.72,1067782.05
7000.0,7000.0
434577.06,317851.39
335448.81,0.0
1758367.69,1306693.86
237000.0,239000.0
1060434.61,575557.14
1133193.72,388282.98
868687.54,377111.55
417669.65,288058.25
2706529.14,2159678.89
80838.0,66403.0
3017611.02,2114339.07
386383.2,190224.0
641614.23,526334.5
746528.78,577191.29
0.0,157500.0
1237167.7,1095102.76
1359689.68,1647466.64
1187110.9,937255.89
443680.2,204327.24
491065.06,324956.55
922204.02,767059.68
604412.4,152000.0
351666.69,204662.68
235843.51,162300.0
1421532.83,707203.0
405582.5,139046.0
824193.06,1277571.0
3092439.6,1337802.82
574087.8,413220.81
2200657.63,1303431.14
1998363.97,1591253.63
204069.74,162014.35
106885.8,76666.12
500000.0,0.0
1827675.05,1561843.92
1032032.74,887396.15
651158.0,634862.0
62928.63,37154.26
244000.0,292304.0
386329.55,251111.66
638440.7,412607.45
300664.0,328688.0
34703.61,14385.0
8598930.49,6433960.78
469650.05,327753.83
1957065.94,1687852.73
566466.03,300000.75
386438.27,330167.42
8712712.69,7743715.32
387569.16,182619.83
868614.0,614594.85
601759.78,566182.4
1917730.02,1329801.68
450892.05,420256.71
2873568.43,2221765.0
1020789.33,810322.97
1694042.64,1444189.74
201026.81,178100.0
564589.13,338041.95
588598.22,286203.91
284913.0,450334.0
426180.52,398019.58
1321768.49,1068895.64
424505.83,394140.79
585724.65,152074.89
1594247.86,1403584.48
108793.0,52000.55
214000.0,373269.0
973500.0,972000.0
2832950.75,2195135.86
479979.77,383102.26
4324143.99,3398522.37
574532.94,365564.12
20000.0,0.0
112035.0,155000.0
3936363.47,2590579.65
1965508.28,1035167.96
726931.43,776795.62
4080326.0,2886821.0
127500.0,123803.7
559583.77,327001.39
1003405.3,479814.0
1319747.0,881157.0
369564.54,224600.0
586000.0,586000.0
670000.0,705884.0
1132477.26,1132477.26
1791120.01,1070005.44
957938.64,686319.8
227010.83,229424.26
625818.19,127640.53
2733595.61,1804215.65
265458.1,251000.0
10522557.44,8149349.82
1976842.22,1460643.21
4263237.14,1376393.43
2734748.16,2228743.89
713123.97,564543.93
1328576.04,1229106.03
2876549.52,1903762.32
933474.5,819085.89
0.0,21900.0
1471831.3,815357.36
7533935.46,5765267.58
1581854.15,1241136.13
114724.0,57362.0
721779.7,361801.0
1338349.0,888970.9
2214243.05,1460444.71
1252997.74,1403049.57
888323.18,544559.57
1197935.58,689157.13
590421.83,546463.5
650412.77,304930.5
1218464.64,953182.48
693347.01,472800.32
768362.89,444537.6
505295.0,527503.03
663230.0,372000.0
784140.54,294882.0
612697.53,310551.72
739696.09,632427.87
470000.0,465000.0
2404515.99,1345265.69
2929375.66,2463965.86
1464172.5,958161.0
228865.37,117015.25
752258.0,654723.49
511936.24,292787.26
2335790.62,1917783.82
322285.03,170752.0
1287036.07,1200901.22
256653.87,345810.44
409000.0,300282.0
1954717.92,1308127.73
377200.0,364700.0
0.0,0.0
906941.6,1245929.24
855127.38,734960.09
500.0,5000.0
841412.71,747781.7
608298.96,701749.96
800024.68,598379.29
434330.9,207245.77
1083715.45,703144.51
691504.45,428738.5
1418362.4,961052.85
329700.0,92000.0
894757.43,605188.07
1893398.42,1827217.0
