espacio_cultural_id,provincia_id,localidad_id,provincia,localidad,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,informacion_adicional,latitud,longitud,fuente,numero_de_registro_en_conabip
110028,14,14063030,Córdoba,Camilo Aldao,Biblioteca Popular Teresa B. de Lancestremere,Leandro N. Alem 1195,2585,3468,401261,bibliotecacaldao@nodosud.com.ar,Se fundó en el año 1930,-32.687067,-62.1034,CONABIP,4014
110029,54,54091080,Misiones,Oberá,Biblioteca Popular Vamos a leer,Saavedra y Río Bermejo,3360,3755,404455,bibleer@yahoo.com.ar,Se fundó en el año 2002,-27.485,-55.135117,CONABIP,4079
110030,18,18112050,Corrientes,Monte Caseros,Biblioteca Popular Villa Fedullo,Callao entre Aconcagua y San Juan,s/d,3775,404833,biblio_villa_fedullo@hotmail.com,Se fundó en el año 1930,-30.2527,-57.657633,CONABIP,4224
110031,82,82133150,Santa Fe,Tartagal,"Biblioteca Popular Tartagal, mi pueblo",Sin nombre,3565,3482,405038,bibliotartagal@live.com.ar,Se fundó en el año 2007,-28.671217,-59.8455,CONABIP,4231
110032,74,74021030,San Luis,Fraga,Biblioteca Popular Remedios de Escalada de San Martín,Sarmiento y Belgrano,5736,2652,405861,s/d,Se fundó en el año 2001,-33.501083,-65.791217,CONABIP,4036
110033,26,26035030,Chubut,Esquel,Biblioteca Popular Tolkeyén,Malvinas Argentinas 1850,9200,2945,405876,bibliotecatolkeyen@yahoo.com.ar,Se fundó en el año 2007,-42.914574,-71.302231,CONABIP,4249
110034,58,58021010,Neuquén,Las Coloradas,Biblioteca Popular Quintú C'Me Raquizuam (Buscando Buenos Pensamientos),Avda. San Martín y Carlos Potente,8341,2942,409069,bibliotecaquintu@yahoo.com.ar,Se fundó en el año 1930,-39.556067,-70.59385,CONABIP,4160
110035,06,06515010,Buenos Aires,Ingeniero Pablo Nogues,Biblioteca Popular Pablo Nogués,25 de Febrero y Gregoria Matorres,1613,2320,410188,monbe3@hotmail.com,Se fundó en el año 1998,-34.478569,-58.705723,CONABIP,3668
110036,14,14098240,Córdoba,Sampacho,Biblioteca Popular Alfonsina Storni,Belgrano 690,X5829AIN,3582,410668,gracielavaia@hotmail.com,Se fundó en el año 1930,-33.382833,-64.721583,CONABIP,3729
110037,06,06515010,Buenos Aires,Grand Bourg,Biblioteca Popular William C.Morris,El Callao e/Soler y O`Brien,1615,2320,411020,bibwcm@yahoo.com.ar,Se fundó en el año 1975,-34.491083,-58.722817,CONABIP,2931
110038,22,22140060,Chaco,Resistencia,Biblioteca Pública Popular Juan B. Justo,López y Planes 58,3500,3722,411041,bp_juanbjusto@yahoo.com,Se fundó en el año 1930,-27.453033,-58.9833,CONABIP,3184
110039,50,50105200,Mendoza,Salto de las Rocas,Biblioteca Popular Salto de las Rosas,Sarmiento,5603,2627,411185,saltodelasrosasbiblioteca@yahoo.com.ar,Se fundó en el año 1993,-34.721317,-68.22645,CONABIP,3282
110040,14,14161150,Córdoba,Río Tercero,Biblioteca Popular Justo José de Urquíza,Alberdi 75,X5850EVA,3571,412148,biblior3@riotel.com.ar,Se fundó en el año 1919,-32.1729,-64.110867,CONABIP,873
110041,42,42021020,La Pampa,Santa Rosa,Biblioteca Popular Edgar Morisoli,Victor Lordi 73,6300,2954,412627,biblioteca_emorisoli@hotmail.com,Se fundó en el año 1930,-36.627717,-64.304817,CONABIP,4124
110042,06,06595070,Buenos Aires,Olavarría,Biblioteca Popular Coty Laborde,Coronel Suárez 1795,7400,2284,416722,cotylaborde@coopenet.com.ar,Se fundó en el año 1930,-36.888317,-60.332433,CONABIP,4176
110043,78,78035010,Santa Cruz,Los Antiguos,Biblioteca Popular Escolar Amigos del saber,Tehuelches,9041,2963,419344,biamigosdelsaber@yahoo.com.ar,Se fundó en el año 1930,-46.545383,-71.626167,CONABIP,3259
110044,94,94007010,Tierra del Fuego,Río Grande,Biblioteca Popular Leonor María Piñeiro,José Romero 3096,9420,2964,419658,bplmp@hotmail.com,Se fundó en el año 1930,-53.77055,-67.738,CONABIP,4150
110045,14,14084030,Córdoba,Laboulaye,Biblioteca Popular Juan Bautista Alberdi,España  7,6120,3385,420001,bpalberdi@arnet.com.ar,Se fundó en el año 1913,-34.124717,-63.38725,CONABIP,549
110046,82,82021360,Santa Fe,Sunchales,Biblioteca Popular Florentino Ameghino,F.Ameghino 171,2322,3493,420008,esc379@interclass.com.ar,Se fundó en el año 1940,-30.943767,-61.562367,CONABIP,2121
110047,06,06547020,Buenos Aires,San Miguel del Monte,Biblioteca Popular Municipal Manuel Belgrano,Petracchi 649,7220,2271,420011,subcom@mun.gba.gov.ar,Se fundó en el año 1950,-35.437767,-58.806705,CONABIP,2662
110048,26,26077040,Chubut,Trelew,Biblioteca Popular José Hernández,Smith 845,U9100EXI,2965,420013,bibliotecajosehernandez@infovia.com.ar,Se fundó en el año 1930,-43.236366,-65.301941,CONABIP,3355
110049,06,06351020,Buenos Aires,General Pinto,Biblioteca Escolar Popular Ricardo Rojas,Julio A.Roca 676,6050,2356,420018,s/d,Se fundó en el año 1961,-34.762567,-61.894133,CONABIP,2824
110050,14,14105240,Córdoba,Río Primero,Biblioteca Popular Presbítero G. Avila Vasquez,Pablo Robert 90,5127,3574,420026,bibavila@rioprim.com.ar,Se fundó en el año 1985,-31.333333,-63.621667,CONABIP,3138
110051,26,26084070,Chubut,Río Mayo,Biblioteca Popular Municipal Martín Martinetti,Hipólito Irigoyen 552,9030,2903,420035,s/d,Se fundó en el año 1945,-45.689317,-70.2606,CONABIP,2591
110052,82,82126070,Santa Fe,El Trébol,Biblioteca Popular Domingo Piccolo,Bv.América 1161,2535,3401,420039,bibliopiccolo@eltrebol.gov.ar,Se fundó en el año 2005,-32.198083,-61.700217,CONABIP,3365
110053,82,82091180,Santa Fe,Moisés Ville,Biblioteca Popular Domingo G. Silva,Bartolomé Mitre 424,2313,3409,420061,bibliotecasilva_mville@hotmail.com,Se fundó en el año 1924,-30.71245,-61.4685,CONABIP,1039
110054,82,82091180,Santa Fe,Moisés Ville,Biblioteca Popular Domingo Faustino Sarmiento,Remedios de Escalada 415,2313,3409,420067,s/d,Se fundó en el año 1917,-30.7122,-61.471417,CONABIP,428
110055,74,74035070,San Luis,Villa Mercedes,Biblioteca Popular Barrio Obras Sanitarias,Amaro Galán 652,D5732HYD,2657,420080,labibliopopular@yahoo.com.ar,Se fundó en el año 1995,-33.687,-65.437183,CONABIP,3504
110056,54,54042020,Misiones,Eldorado,Biblioteca Popular Eldorado,San Luis 195,3380,3751,420090,bibliotecaeldorado@hotmail.com,Se fundó en el año 1968,-26.404517,-54.61085,CONABIP,2950
110057,06,06028010,Buenos Aires,Glew,Biblioteca Popular Pablo Rojas Paz,A.del Valle y Mansilla,1856,2224,420095,bibliotecapablorojaspaz@yahoo.com.ar,Se fundó en el año 1969,-34.891483,-58.38585,CONABIP,2870
110058,06,06833060,Buenos Aires,Orense,Biblioteca Popular Pública Amigos del libro,J.P.de Riglos 20,B7503AZA,2982,420101,bpamigos@cyh.com.ar,Se fundó en el año 1927,-38.687417,-59.782333,CONABIP,1299
110059,18,18063020,Corrientes,Lomas de Vallejo,Biblioteca Popular Leamos juntos,Sin dirección,3405,3781,420125,s/d,Se fundó en el año 1995,-27.737125,-57.918579,CONABIP,3472
110060,10,10112040,Catamarca,Santa Rosa,Biblioteca Popular José V. Figueroa,Santa Rosa,5343,3837,420175,s/d,Se fundó en el año 1938,-28.034361,-67.615356,CONABIP,2026
110061,70,70056080,San Juan,Jachal,Biblioteca Popular Domingo Faustino Sarmiento,Juan de Echegaray y San Martín,5460,2647,420232,bibliotecasarmiento_jachal@yahoo.com.ar,Se fundó en el año 1908,-30.241476,-68.746696,CONABIP,702
110062,38,38035080,Jujuy,Libertador G.San Martín,Biblioteca Popular San Marcelino,Posta de Hornillos Mza 392 Lote 32,4512,3886,420251,s/d,Se fundó en el año 1930,-23.81945,-64.790077,CONABIP,4172
110063,06,06798020,Buenos Aires,Tapalqué,Biblioteca Popular Municipal José Hernández,Bartolomé Mitre 178,7303,2283,420284,biblio@tapalque.mun.gba.gov.ar,Se fundó en el año 1930,-36.35725,-60.023733,CONABIP,3173
110064,82,82105030,Santa Fe,Barrancas,Biblioteca Popular de Barrancas,Alem 714,S2246BAL,3466,420308,bibliopo@cosmol.com.ar,Se fundó en el año 1922,-32.233583,-60.983033,CONABIP,906
110065,14,14049050,Córdoba,Dean Funes,Biblioteca Popular José Ingenieros,Independencia,5200,3521,420317,bjingenieros@intinet.com.ar,Se fundó en el año 1933,-30.414217,-64.36105,CONABIP,1872
110066,82,82063090,Santa Fe,Llambi Campbell,Biblioteca Popular Dr. P. Llambi Campbell,Alte.Brown 527,3036,3497,420322,s/d,Se fundó en el año 1936,-31.18435,-60.74725,CONABIP,1933
110067,06,06497060,Buenos Aires,Luján,Biblioteca Popular Ameghino,San Martín 485,B6700ZBA,2323,420329,abameghino@speedy.com.ar,Se fundó en el año 1914,-34.565733,-59.11545,CONABIP,168
110068,22,22084020,Chaco,General José de San Martín,Biblioteca Escolar Popular El zapallar,San Lorenzo y Lavalle,3509,3725,420343,b.p.136@hotmail.com,Se fundó en el año 1930,-26.537,-59.353217,CONABIP,3673
110069,82,82091180,Santa Fe,Moisés Ville,Biblioteca Popular Barón Hirsch,Moreno 243,2313,3409,420375,bpbaronhirsch@sunchanet.com.ar,Se fundó en el año 1913,-30.715233,-61.469783,CONABIP,427
110070,86,86105010,Santiago del Estero,Loreto,Biblioteca Popular Eduardo Miguel,Juan Domingo Perón s/n,G4208XBZ,3845,420403,bipopem_3816@yahoo.com.ar,Se fundó en el año 1999,-28.302667,-64.1795,CONABIP,3816
110071,86,86035090,Santiago del Estero,La Banda,Biblioteca Popular Ada Nilda Alderete,Añatuya esq. Sumanpa,4300,0385,420403,s/d,Se fundó en el año 2001,-27.735836,-64.243752,CONABIP,4091
110072,26,26077040,Chubut,Trelew,Biblioteca Popular Raúl Scalabrini Ortíz,Pje.J.M.Thomas 145,9100,2965,420409,bibliotecascalabriniortiz@yahoo.com.ar,Se fundó en el año 1991,-43.262547,-65.290237,CONABIP,3202
110073,06,06595070,Buenos Aires,Olavarría,Biblioteca Popular 1 de Mayo,Dorrego 2257,7400,2284,420422,biblio1eromayolav@coopenet.com.ar,Se fundó en el año 1930,-36.888733,-60.325333,CONABIP,3889
110074,26,26077040,Chubut,Trelew,Biblioteca Popular Gonzalo Delfino,Uruguay 146,9100,2965,420495,s/d,Se fundó en el año 1987,-43.254917,-65.324158,CONABIP,3244
110075,82,82084010,Santa Fe,Acebal,Biblioteca Popular Nº 1800 José Malet,Bulevar Centenario 402,2109,3469,420544,bibliotecajmalet@gmail.com,Se fundó en el año 1932,-33.2404,-60.834116,CONABIP,1800
110076,06,06154010,Buenos Aires,Carlos Tejedor,Biblioteca Popular Roque Saénz Peña,Alberto H.Almirón 148,B6455ADD,2357,420574,bibliotejedor@yahoo.com.ar,Se fundó en el año 1916,-35.392067,-62.420533,CONABIP,268
110077,06,06105060,Buenos Aires,Bolívar,Biblioteca Popular Bernardino Rivadavia,Las Heras 80,B6550BGB,2314,420626,bib_rivadavia@yahoo.com.ar,Se fundó en el año 1911,-36.232083,-61.113533,CONABIP,93
110078,74,74035070,San Luis,Villa Mercedes,Biblioteca Popular Madre Cabrini,Av.Mitre 1222,5730,2657,420629,biblo446@infovia.com.ar,Se fundó en el año 1995,-33.67105,-65.460817,CONABIP,3443
110079,14,14098290,Córdoba,Vicuña Mackena,Biblioteca Popular Mariano Moreno,J.A.Roca s/n,6140,3583,420634,ceyalcoop@ceyalcoop.com.ar,Se fundó en el año 1918,-33.912183,-64.387817,CONABIP,584
110080,22,22119010,Chaco,Presidencia de la Plaza,Asociación Amigos Biblioteca Popular Pública José Manuel Estrada,25 de Mayo,3536,3734,420647,bib_pop_estrada_plaza@hotmail.com,Se fundó en el año 1967,-27.001741,-59.843952,CONABIP,3353
110081,74,74035070,San Luis,Villa Mercedes,Biblioteca Popular Teniente Manuel Félix Origone,Almafuerte 828,5730,2657,420650,bibmanuelforigone@yahoo.com.ar,Se fundó en el año 2007,-33.676783,-65.470583,CONABIP,4215
110082,82,82070050,Santa Fe,Esperanza,Biblioteca Escolar Popular Aaron Castellanos,San Martín 873,3080,3496,420673,s/d,Se fundó en el año 1930,-31.457967,-60.9331,CONABIP,1712
110083,06,06847020,Buenos Aires,Tres Lomas - Pellegrini,Biblioteca Popular Bernardino Rivadavia,9 de Julio 943,6409,2394,420711,s/d,Se fundó en el año 1939,-36.46175,-62.858333,CONABIP,2107
110084,82,82021360,Santa Fe,Sunchales,Biblioteca Popular Juan Bautista Alberdi,Cristóbal Colón 1284,2322,3493,420729,bibjbalberdi@yahoo.com.ar,Se fundó en el año 1998,-30.942333,-61.553133,CONABIP,1188
110085,06,06315010,Buenos Aires,General Juan Madariaga,Biblioteca Popular José Hernández del Club Deportivo El León,Sarmiento 638,7163,2267,420754,bjhm18@hotmail.com,Se fundó en el año 1944,-36.99555,-57.138983,CONABIP,2789
110086,14,14140040,Córdoba,Balnearia,Biblioteca Popular Martín Fierro,Ex-Estación FCGB,5141,3563,420876,bibliobal@redcoop.com.ar,Se fundó en el año 1990,-31.0095,-62.667433,CONABIP,3990
110087,22,22140060,Chaco,Resistencia,Biblioteca Escolar Popular Benjamín Zorrilla,Sta.María de Oro 28,3500,3722,420889,bibliozorrilla@hotmail.com,Se fundó en el año 1901,-27.45065,-58.987617,CONABIP,780
110088,06,06595070,Buenos Aires,Olavarría,Biblioteca Popular Ferroviaria M.Gandhi,Bolivar 3031,7400,2284,420893,bibliotecaferroviaria@hotmail.com,Se fundó en el año 1904,-36.897967,-60.32395,CONABIP,201
110089,22,22140060,Chaco,Resistencia,Biblioteca Popular Bernardino Rivadavia,C. Pellegrini 80,H3500CDB,3722,420930,biblioteca-rivadavia@arnet.com.ar,Se fundó en el año 1909,-27.452033,-58.98405,CONABIP,779
110090,22,22140060,Chaco,Resistencia,Biblioteca Popular Escolar Herminia C. Brumana,Av.Rivadavia 230,3500,3722,420934,bibpopbrumana@hotmail.com,Se fundó en el año 1970,-27.445567,-58.984283,CONABIP,3432
110091,22,22140060,Chaco,Resistencia,Biblioteca Popular Tec. General Manuel Belgrano,Av.Paraguay 410,3500,3722,420957,bibliotecabelgrano@gmail.com,Se fundó en el año 1925,-27.4506,-58.978617,CONABIP,2686
110092,18,18105030,Corrientes,Mercedes,Biblioteca Popular Escolar Isabel S. A. de Aquino,Sarmiento 540,3470,3773,420972,biblioaquino@mercedesair.com.ar,Se fundó en el año 1947,-29.183267,-58.073733,CONABIP,3438
110093,06,06651030,Buenos Aires,Darregueira,Biblioteca Popular Sur,Urquiza 255,8183,2924,420974,bibliotecapopularsur@yahoo.com.ar,Se fundó en el año 1988,-37.692933,-63.159067,CONABIP,4222
110094,82,82042290,Santa Fe,Venado Tuerto,Biblioteca Popular Florentino Ameghino,Juan B. Justo 42,2600,3462,420986,biblioameghino@powervt.com.ar,Se fundó en el año 1930,-33.751833,-61.959983,CONABIP,469
110095,06,06778020,Buenos Aires,Alejandro Korn,Biblioteca Popular Domingo Faustino Sarmiento,Independencia 16,1864,2225,421000,s/d,Se fundó en el año 1923,-34.974533,-58.383217,CONABIP,997
110096,74,74021060,San Luis,La Toma,Biblioteca Popular Cerros del Rosario,Av.Marmol Onix s/n,5750,2655,421022,s/d,Se fundó en el año 1993,-33.0553,-65.62045,CONABIP,3221
110097,34,34014020,Formosa,Formosa,Biblioteca Popular María Blanca B. de Simonotto,Sarmiento 885,3600,011,421034,bpsimonotto@fibertel.com.ar,Se fundó en el año 1930,-26.18675,-58.17515,CONABIP,3330
110098,86,86077010,Santiago del Estero,Añatuya,Biblioteca Popular Almafuerte,Maipú y J.J.Paso,3760,3844,421064,bibliotecaalmafuerteanatuya@hotmail.com,Se fundó en el año 1919,-28.457983,-62.833667,CONABIP,612
110099,22,22084020,Chaco,General José de San Martín,Biblioteca Pública Popular Juana P. Manso Noronha,Chile y Sarmiento,3509,3725,421085,s/d,Se fundó en el año 1930,-26.53898,-59.34269,CONABIP,3459
110100,18,18084020,Corrientes,Ituzaingo,Asociación Biblioteca Popular Carlos Guido Spano,Buenos Aires y Belgrano,3302,3786,421110,bpcgs4110@hotmail.com,Se fundó en el año 1875,-27.5846,-56.68735,CONABIP,4110
110101,22,22021010,Chaco,Presidencia Roque Saenz Peña,Biblioteca Popular Pública Ana B. de Pibernus,Pringles 441,3700,3732,421126,bibliotecapibernus@hotmail.com,Se fundó en el año 1930,-26.771433,-60.43485,CONABIP,3003
110102,06,06351020,Buenos Aires,General Pinto,Biblioteca Popular Domingo Faustino Sarmiento,San Martín y R. Gowland,6050,2356,421129,biblioteca@germania.com.ar,Se fundó en el año 1913,-34.765517,-61.89245,CONABIP,126
110103,66,66056220,Salta,Tartagal,Biblioteca Popular Amparo F. de Maidana,9 de Julio 623,4560,3875,421135,bibliotecaamparofdemaidana@yahoo.com.ar,Se fundó en el año 1930,-22.5204,-63.799,CONABIP,4109
110104,10,10091150,Catamarca,Santa María,Biblioteca Popular Rafael Castillo,Mitre 499,K4011AMI,3838,421142,bibliotecarafaelcastillo@yahoo.com.ar,Se fundó en el año 1912,-26.6937,-66.049667,CONABIP,742
110105,14,14091250,Córdoba,Villa Carlos Paz,Biblioteca Popular José H. Porto,José H.Porto 96,X5152GZB,3541,421152,bibjosehporto@ciudad.com.ar,Se fundó en el año 1949,-31.414517,-64.50685,CONABIP,2978
110106,06,06511020,Buenos Aires,Maipú,Biblioteca Popular Municipal Juan José Elizondo,Belgrano 395,7160,2268,421180,biblioelizondomaipu@gmail.com,Se fundó en el año 1966,-36.859767,-57.8803,CONABIP,3351
110107,82,82133170,Santa Fe,Vera,Biblioteca Popular Dr. Allende Lezama,San Martín 1631,3550,3483,421189,s/d,Se fundó en el año 1907,-29.465367,-60.211617,CONABIP,422
110108,06,06448010,Buenos Aires,Laprida,Biblioteca Popular Laprida,Independencia 1136,B7414ATH,2285,421212,bplaprida@yahoo.com.ar,Se fundó en el año 1940,-37.542817,-60.799633,CONABIP,2134
110109,94,94007010,Tierra del Fuego,Río Grande,Biblioteca Popular Mariano Moreno,Avda. Juan Domingo Perón 301 B,9420,2964,421217,s/d,Se fundó en el año 1992,-53.7957,-67.707733,CONABIP,3252
110110,90,90098010,Tucumán,Anaicha del Valle,Biblioteca Popular Amado Juarez,San Martín,4137,3892,421220,bibliotecapopularjuarez@cosama.com.ar,Se fundó en el año 1909,-26.946846,-65.285706,CONABIP,3291
110111,22,22084020,Chaco,General José de San Martín,Biblioteca Popular Escolar D.Agueda Gomez de Tuckey,Islas Malvinas y Passo,3509,3725,421238,s/d,Se fundó en el año 1930,-26.54025,-59.344433,CONABIP,3457
110112,66,66126070,Salta,San Ramón de la Nueva Orán,Biblioteca Popular Municipal Domingo Faustino Sarmiento,Hipólito Irigoyen 137 137,4530,3878,421274,s/d,Se fundó en el año 1930,-23.128767,-64.320767,CONABIP,3974
110113,26,26077040,Chubut,Trelew,Biblioteca Popular Kim Hue,Benito Fernandez y Alderete,9100,2965,421280,s/d,Se fundó en el año 1996,-43.245041,-65.285233,CONABIP,3835
110114,18,18168040,Corrientes,Santo Tomé,Biblioteca Popular Bernardino Rivadavia,Victor Navajas 844,3340,3756,421316,biblioteca512@hotmail.com,Se fundó en el año 1930,-28.551983,-56.035033,CONABIP,512
110115,30,30113080,Entre Ríos,Villaguay,Biblioteca Popular Primer Presidente Bernardino Rivadavia,Moreno (Escuela Sup.Nº 1) 650,E3240ETN,3455,421325,biblioteca@viguay.com.ar,Se fundó en el año 1893,-31.864033,-59.029567,CONABIP,384
110116,86,86042010,Santiago del Estero,Bandera,Biblioteca Popular Manuel Belgrano,Mitre s/n,3064,3857,421395,bpbelgrano2252_bandera@hotmail.com,Se fundó en el año 1943,-28.88485,-62.265867,CONABIP,2252
110117,18,18105030,Corrientes,Mercedes,Biblioteca Popular Literaria Belgrano,San Martín 650,3470,3773,421420,literaria@payubre.net,Se fundó en el año 1910,-29.184217,-58.07195,CONABIP,509
110118,06,06469080,Buenos Aires,Lincoln,Biblioteca Popular Juan Bautista Alberdi,Av.Alem 1160,B6070AFY,2355,421436,cgbnalincoln@hotmail.com,Se fundó en el año 1919,-34.8691,-61.529217,CONABIP,178
110119,22,22084020,Chaco,General José de San Martín,Biblioteca Escolar Popular Prim. Nº 555 D. M. Sarmiento,Ruta 90 y Dr.Eliseo Canton,3509,3725,421458,s/d,Se fundó en el año 1930,-26.542133,-59.329433,CONABIP,3675
110120,66,66021010,Salta,Cafayate,Biblioteca Popular Cafayateña,Nuestra Sra.del Rosario 79,4427,3868,421481,s/d,Se fundó en el año 1930,-26.075483,-65.977033,CONABIP,3758
110121,22,22098030,Chaco,Villa Angela,Biblioteca Popular Escolar Asociación A. J. L. Borges,Luis Braile y Lavalle,H3540EFG,3735,421494,anexo@vai.com.ar,Se fundó en el año 1976,-27.56705,-60.7166,CONABIP,3458
110122,06,06420030,Buenos Aires,San Clemente del Tuyú,Sociedad Fomento y Biblioteca Popular El Tala,Calle 9 4068,7105,2252,421525,bib-arocha@educar,Se fundó en el año 1930,-36.384667,-56.71695,CONABIP,4125
110123,86,86077010,Santiago del Estero,Añatuya,Biblioteca Popular de Añatuya,Sarmiento 150,3760,3844,421563,bibsarmientoanatuya@hotmail.com,Se fundó en el año 1922,-28.461383,-62.83685,CONABIP,1179
110124,34,34014020,Formosa,Formosa,Biblioteca Popular Margarita Diez,J.de los Santos y M.Gutierrez,3600,3717,421587,bpmargaritadiez@hotmail.com,Se fundó en el año 1930,-26.169817,-58.193383,CONABIP,3433
